TimeStamp,CpuUsage,CpuTemp,IrTemp,CpuPkgPower,CpuPL1,ThermalThrottling
2023-08-24_15-56-32-045,100,96,36,87.4004666,55,1
2023-08-24_15-56-33-079,100,96,36,99.18397796,55,1
2023-08-24_15-56-34-114,100,98,36,91.54192228,55,1
2023-08-24_15-56-35-147,100,96,36,79.54225061,55,1
2023-08-24_15-56-36-184,100,98,36,88.06653057,55,1
2023-08-24_15-56-37-218,100,98,36,95.9272841,55,1
2023-08-24_15-56-38-253,100,98,36,86.36122766,55,1
2023-08-24_15-56-39-289,100,98,36,97.63139742,55,1
2023-08-24_15-56-40-323,100,98,36,87.96338964,55,1
2023-08-24_15-56-41-356,100,98,36,87.96338964,55,1
2023-08-24_15-56-42-391,100,96,36,90.02594021,55,1
2023-08-24_15-56-43-424,100,96,36,86.68235374,55,1
2023-08-24_15-56-44-460,100,96,36,89.05665021,55,1
2023-08-24_15-56-45-496,100,98,36,99.81047763,55,1
2023-08-24_15-56-46-530,100,96,36,87.92757299,55,1
2023-08-24_15-56-47-563,100,96,36,90.61887071,55,1
2023-08-24_15-56-48-598,100,96,36,93.06714921,55,1
2023-08-24_15-56-49-633,100,96,36,87.61133275,55,1
2023-08-24_15-56-50-665,100,96,36,95.3981631,55,1
2023-08-24_15-56-51-697,100,98,36,87.22499931,55,1
2023-08-24_15-56-52-732,100,98,36,93.44518831,55,1
2023-08-24_15-56-53-767,100,96,36,93.49311201,55,1
2023-08-24_15-56-54-813,100,98,36,93.398451,55,1
2023-08-24_15-56-55-848,100,98,36,87.56586277,55,1
2023-08-24_15-56-56-883,100,96,36,93.69097946,55,1
2023-08-24_15-56-57-915,100,95,36,84.02119001,55,1
2023-08-24_15-56-58-952,100,95,36,84.02119001,55,1
2023-08-24_15-56-59-987,100,96,36,92.54862239,55,1
2023-08-24_15-57-01-023,100,96,36,86.64194919,55,1
2023-08-24_15-57-02-058,100,98,36,89.18187566,55,1
2023-08-24_15-57-03-090,100,96,37,92.10562368,55,1
2023-08-24_15-57-04-128,100,96,37,89.99562837,55,1
2023-08-24_15-57-05-163,100,96,37,89.82207177,55,1
2023-08-24_15-57-06-197,99.87404,96,37,86.02686911,55,1
2023-08-24_15-57-07-232,100,98,37,86.25903249,55,1
2023-08-24_15-57-08-270,99.93724,98,37,87.49163606,55,1
2023-08-24_15-57-09-306,100,98,37,94.64328149,55,1
2023-08-24_15-57-10-341,100,96,37,79.84843465,55,1
2023-08-24_15-57-11-376,100,98,37,95.31711664,55,1
2023-08-24_15-57-12-408,100,98,37,90.41472095,55,1
2023-08-24_15-57-13-440,100,96,37,94.05838305,55,1
2023-08-24_15-57-14-475,100,96,37,85.89136997,55,1
2023-08-24_15-57-15-510,100,98,37,90.32094731,55,1
2023-08-24_15-57-16-546,100,98,37,90.32094731,55,1
2023-08-24_15-57-17-579,100,96,37,94.38034012,55,1
2023-08-24_15-57-18-618,100,98,37,92.56636143,55,1
2023-08-24_15-57-19-653,100,95,37,83.86029148,55,1
2023-08-24_15-57-20-688,100,95,37,90.21584085,55,1
2023-08-24_15-57-21-723,100,96,37,89.20551059,55,1
2023-08-24_15-57-22-759,100,98,37,84.35580654,55,1
2023-08-24_15-57-23-794,100,96,37,95.17163785,55,1
2023-08-24_15-57-24-829,100,96,37,97.17817242,55,1
2023-08-24_15-57-25-865,100,96,37,89.33579317,55,1
2023-08-24_15-57-26-897,100,96,37,91.52155214,55,1
2023-08-24_15-57-27-936,100,96,37,92.33194002,55,1
2023-08-24_15-57-28-971,100,96,37,90.83724474,55,1
2023-08-24_15-57-30-007,100,95,37,88.77153567,55,1
2023-08-24_15-57-31-042,100,98,37,86.31801684,55,1
2023-08-24_15-57-32-077,100,96,37,86.48211841,55,1
2023-08-24_15-57-33-110,100,95,37,91.64959048,55,1
2023-08-24_15-57-34-145,100,98,37,97.91128482,55,1
